,nama,komentar,rating,kelas
26,Maulana,2x pesan barang yg dikirim mantap tidak mengecewakan dapat barang yg muluss battery bahkan kuat 5jam,5,Sangat-baik
27,Y***s,"bagusssss, semoga awet🙇‍♂️ seller responsif, thank you jangan ragu beli disini guys, super recomended🥳 thanks juga Pak Pos Indonesia",5,Sangat-baik
28,Achmad,"barang sudah sampai, barang sesuai dengan pesanan, di test lancar,internet jalan, ringan. thanks ya gan,,,,",5,Sangat-baik
29,Teguh,"dapet barang mulus banget, mantep lah pokok na",5,Sangat-baik
30,H***r,oke,5,Sangat-baik
31,D***e,"Murah tp ga murahan. Sempet maju mundur buat beli, karena ga pernah beli brg second (takut zonk) tp abis mikir2 kalo buat kerja data doang ngapain mahal2. Akhirnya berani... ",5,Sangat-baik
32,Bobi,Terbaik dan Terpercaya lah ini seller 👍👍,5,Sangat-baik
33,Iven,Barang sampai cepat dan laptop sangat bagus,5,Sangat-baik
34,Sahabat,"produk bagus, fisik bagus nyaris 100%",5,Sangat-baik
35,K***a,"mantap, produk sesuai bekerja dengan baik. sesuai dengan spesifikasi. Packaging aman dan diproses cepat",5,Sangat-baik
36,Arya,Baru dicek awal .. okeh sesuai spek .. mdh2an awet ya .. mksh seller,5,Sangat-baik
37,Bayu,"barang mulus, sesuai deskripsi produk. pelayanan cepat responsif seller. recomended. trims pada seller sukses selalu",5,Sangat-baik
38,Rachmat,"mantap terima kasih seller, sesuai spek, rekomendet",5,Sangat-baik
39,Ahmad,"mantap, harga murah performa nggak murahan 👍",5,Sangat-baik
40,Bayu,"barang sudah sampai selamat ,smga tahan lama terbaik",5,Sangat-baik
41,faiz,"barang overall oke , sesuai pesanan. harga murah. cuma pengiriman aja yg lama bet. kungkin kendala pemilihan kurir yg kurang tepat. tk.",5,Sangat-baik
42,Arul,oke lah good,5,Sangat-baik
43,Deni,mantapp,5,Sangat-baik
44,Satrio,"Laptop nya berfungsi dengan baik hanya minus body sedikit lecet bekas pemakaian,respon dari seller nya juga fast respon",5,Sangat-baik
45,Wahyudi,"Barang Bagus, kayak pakai dan bermanfaat. thanks",5,Sangat-baik
46,i,"barang nya msh bagus walopun second, recommended deh pokoknya",5,Sangat-baik
47,Bayu,"barang mulus, sesuai deskripsi produk. pelayanan cepat responsif seller. recomended. trims pada seller sukses selalu",5,Sangat-baik
48,Rachmat,"mantap terima kasih seller, sesuai spek, rekomendet",5,Sangat-baik
49,Ahmad,"mantap, harga murah performa nggak murahan 👍",5,Sangat-baik
50,Bayu,"barang sudah sampai selamat ,smga tahan lama terbaik",5,Sangat-baik
51,faiz,"barang overall oke , sesuai pesanan. harga murah. cuma pengiriman aja yg lama bet. kungkin kendala pemilihan kurir yg kurang tepat. tk.",5,Sangat-baik
52,Arul,oke lah good,5,Sangat-baik
53,Deni,mantapp,5,Sangat-baik
54,Satrio,"Laptop nya berfungsi dengan baik hanya minus body sedikit lecet bekas pemakaian,respon dari seller nya juga fast respon",5,Sangat-baik
55,Wahyudi,"Barang Bagus, kayak pakai dan bermanfaat. thanks",5,Sangat-baik
56,i,"barang nya msh bagus walopun second, recommended deh pokoknya",5,Sangat-baik
57,Tridatu,"barang bagus, pengiriman cepat, saler ramah, rekomeded",5,Sangat-baik
58,leholey,Alhamdulillah sampai dengan selamat,5,Sangat-baik
59,E***M,"performa baik, packing baik. respon baik. terbaik",5,Sangat-baik
60,A***s,"barang mulus tidak ada masalah apapun, dari pihak ekspedisi pun cepat. barang sesuai ekspetasi semoga awet 🙏",5,Sangat-baik
61,Farid,"ga kerasa udah setahun Makai,,, cuma keyboardnya udah rusak",5,Sangat-baik
62,Hawin,masih seperti baru .. mulus .. tp di bagian bawah bagian karet dudukan / kaki nya copot satu .. gp2 sih masih cukup worth it dan memuaskan .. semoga awet ..,5,Sangat-baik
63,Y***o,Sip.. Keyboard Jepang 🤣😅,5,Sangat-baik
64,Sigit,"Mantab, fast",5,Sangat-baik
65,Ayeng,Mantapp,5,Sangat-baik
66,M***d,,5,Sangat-baik
67,Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih",4,Baik
68,M***d,lumayan bagus. hanya ad sdikit goresan di kesing. tapi tdk mempengaruhi performa,4,Baik
69,A***s,"Cukup mulus, cukup curiga setelah barang mendarat.bodi atas bagian engsel layar sebelah kanan terbuka, saya kira pecah ternyata tekniksi lupa mengencang semua baut. perfo... ",4,Baik
70,Gallan,"laptop aman normal, cuma adaptornya ada masalah",4,Baik
71,S***o,"pengiriman cepat, sesuai spesifikasi",4,Baik
72,E***a,"respon penjual cepat,jg membantu Krn kiriman yg lebih dr estimasi pengiriman.packin msh aman ,produk berjalan sesuai..msh bagus. thanks",4,Baik
73,H***n,"pembelian kesekian kalinya. pelapak sangat komunikatif, sangat bertanggung jawab siap ganti unit baru jika ada troble dan layanannya sangat cepat. pembelian kali ini mala... ",4,Baik
74,w***n,Barang sesuai dengan deskripsi,4,Baik
75,Asril,ok sih barangnya cuma agak kecewa krna tombol merah (trackpad) d tengahya ga ada,4,Baik
76,Erik,"Secara keseluruhan bagus , fungsi baik , btrai awet Tapi ada pinggir nya yg gak rapet",4,Baik
77,P***o,masih mulus dan sesuai Spec diiklankan,4,Baik
78,Amir,"leptop sesuatu deskripsi aman mulus dan bekerja, cuma kurang kepala charger aja tp amanlah gapapa",4,Baik
79,Aditya,oke udah direspon,4,Baik
80,A***n,"overall mantap dri sekian kali mesen di sini ok semua, untuk unit yang ini keren ,kurang di speaker aja kurang kenceng suaranya, sama chargernya pake sambungan bukan yan... ",4,Baik
81,M,barangnya sdh sampai sesuai harapan 👍😍 tp terlambat dipengirimannya tp gak ap2 sich yg penting smpai barangnya 🙏😇🥰,4,Baik
82,Nadya,Barang bagus recomended,4,Baik
83,Putra,"Barangnya oke sih top 👍,sesuai yg ada dideskripsi👍👍👍,cuma kekurangannya adminnya kurang responsive,jadi kesimpulannya jadi terobati kekurangan responsivenya...",4,Baik
84,Dindin,bodnya ga semulus gambar nih..,4,Baik
85,Abdul,perlu kesabaran buat nunggu respon penjual untungnya barang yang sampe kondisinya baik,4,Baik
86,M***d,Jujur ngeri bgt buka paket nggak ada tas sm dusnya.. langsung laptop dibalut bubble wrap. Tapi unit aman 👍🏻,4,Baik
87,Ibrotul,"Smua spesifikasi laptop sesuai bgt dg deskripsi, kurir si cepat gokil nganter barang lgsung keesokannya nyampe, cuma pas dicek casing laptop blm tertutup sempurna sampe t... ",4,Baik
88,B***s,"Laptop berfungsi baik, semua tombol berfungsi, camera berfungsi Kurangnya: 1. Standar Battery 2, ternyata battery internal tidak ada 2. Battery external tidak standar (la... ",4,Baik
89,Slamet,"Review jujur untuk body nya ya taulah kalo barang bekas, bagian atas laptop baret2 seperti di gambar tapi sayangnya di antara port ada yg patah, kirain cuma baret2 doang�... ",4,Baik
90,R***a,"packing aman dan lmyn cepat sampainya,harga lmyn murah dan lmyn fast respon , utk barang second kondisi fisik 95 persen ,ada sedikit gores bodi luar dan wajar, semoga awe... ",4,Baik
91,Suharyono,"Kualitas produk baik,sayangnya pengirimanya lama banget, dari semua produk yang tak beli di hari yang sama, produk ini yang pengirimanya paling lama, karena pake expedisi... ",4,Baik
92,Joko,mantappppsshh baret biasa lah,4,Baik
93,rengga,suaranya kok agak gmna gitu min kaya ga sesuai gitu suaranya,4,Baik
94,Fitry,packing baik. unit Lumayan lah sesuai harga.,4,Baik
95,N***a,layarnya jelek,4,Baik
96,A***h,"barang diterima dengan kondisi baik, 95% mulus dan oke untuk barang second. packing rapi. cuma sedikit ada yg tidak sesuai, yaitu tombol fungsi @ tertukar dengan "" j... ",4,Baik
97,Sigit,pesanan sudah sampai GoodLah pokoknya Terimakasih seler.Produk sesuai pesanan meskipun battray nya agak boros buat Nonton youtube langsung low battray wajarlah namanya ju... ,4,Baik
98,Fatwa,"Good condition sesuai deskripsi, Tokonya Amanah, fast respons 👌🔥",4,Baik
99,Maryudi,"Laptop berfungsi dengan baik dan sesuai deskripsi, cuma sayang kabel power nya barang murah plus rusak gak bisa di pasang k adapter nya..",4,Baik
100,Harris,mulus bagus..tapi kenapa bau minyak tanah ya?,4,Baik
101,tian,"ini pengalaman saya. tapi tiap buyer pasti beda2. berhubung ini adalah laptop second, jgn harap bener2 flawless kek baru. kalo mo yg licin ya beli baru aja bos. tapi seca... ",4,Baik
102,o***y,"Barang sudah sampai kak,,Barang juga ok kelas laptop second mantep sih,,bintangnya saya kurangi dulu kak,windowsnya belum aktive aplikasi winbox tidak bisa running jadi h... ",4,Baik
103,Ali,"Overall berfungsi dg baik,, tapi windows nya ngadat (harus install ulang sepertinya) :(",4,Baik
104,T***n,barang mulus istimewa. cuma untuk baterai cuma 1 itupun yg model tipis 24WH. yg tanam di dalam gak ada. Pertama nyalakan dikira drop. karena turun deras. dan dari 25% lng... ,4,Baik
105,Guta,,4,Baik
106,Nasrullah,,4,Baik
107,F***h,"barang sudah dicek sementara belum ada kendala kondisi laptop bagus, minus kurir lambat.",3,Biasa
108,Ari,"Ada body laptopnya yang tidak terpasang dengan benar sehingga terlihat tidak enak, tetapi semua fungsi oke hanya sedikit kecewa dengan seller karena body laptopnya saja",3,Biasa
109,Ivan,barangnya mulus,3,Biasa
110,Edwardo,Salah satu rumah baut cover belakangnya slek* pas coba buat dikencengin tetep tidak bisa rapat. Jangan terlalu berharap sama barang second soal kondisi fisik. Fungsi aman... ,3,Biasa
111,Baut,"Di deskripsi katanya dapat sticker keyboard gratis, ternyata ga dikasih, di chat ssd katanya 2245 (2242) pas dibuka ternyata ssd 2,5""",3,Biasa
112,yusuf,Pengiriman,3,Biasa
113,Irfan,sesuai deskripsi. bintang 3 krn pengiriman doang agak telat,3,Biasa
114,Dio,"beli pertama puas, beli yg kedua, aplikasi tdk berfungsi dg baik",2,Buruk
115,Arie,Penjual kurang gercep sat set sat set,2,Buruk
116,i***n,"Barang tidak sesuai deskripsi, body ada retak dan kepala charher sompal",1,Sangat-buruk
117,R***a,"barang datang, bagian layar ada yang terbuka. akhirnya barang diretur. setelah diretur barang tidak langsung dikirim balik sampai 2 hari, itu pun harus diingatkan di chat... ",1,Sangat-buruk
118,L***o,kebanyakan trik.,1,Sangat-buruk
119,Tuki,"gw pernah beli notebook ini, tepatnya beli rongsokan seharga 5 jt, keyboard macet +-17 digit, habis di sleep pasti layar error! garansi sebulan apanya!!!, ditanya ""g... ",1,Sangat-buruk
