,nama,rating,komentar
133,Tegar,3,"bahan bagus, gx tau ada masalah apa pengiriman nya lama bnget, sedikit kecewa sih nunggu lama,"
134,Sutriadi,3,cukup puas banget sama barangnya
135,Addien,3,bagus Barangnya tpi gakepake ... Pas Klik L eh pas C/O jadi M mungkin karena Abis L nya... udah ajukan pengembalian Langsung Padahal... gabisa katanya udah diproses... ya... 
136,A***a,3,Size beda beda Bahan ciut setelah di cuci
137,K***l,3,jahitan kurang rapi
138,B***u,3,barang tdk sesuai pesanan
139,A***n,3,b ajasi bahannya
140,A***s,3,Jahitan tidak rapi adalah kelebihan erigo.
141,Lilis,3,Packing Berantakan.
142,Rado,3,lumayan
143,H***a,3,Barangnya kaya baju cewe yang M mesti ambil yang L
144,Muh,3,B jah
145,M***d,3,"jahitan bagian lengan nya banyak yang putus ( brodol2) , bahannya tipis tapi nyaman , admin ramah dan pengiriman cepet , ya itu tadi minusnya di jahitan bagian lengan rus... "
146,ANDI,3,agak kecewa sih..karena jahitan di lengan banyak yang lepas...saran aja mungkin QC nya lebih tingkatin..
147,Y***a,3,
148,M***d,3,
149,Iyal,3,
150,nia,2,"pengiriman lama, pesanan tidak sesuai dgn apa yg dipesan. kecewa sama barang yg dtng tdk sesuai pdhal produk terkenal."
151,Dhika,2,"ini kok luntur banget ya, pas pencucian pertama kalinya, hand wash, udah diperas dan dibilas berkali2, pas dimasukin keranjang cucian ketumpuk baju lain, eh kena lunturan... "
152,Hangga,2,Mohon maaf harus kasih bintang 2 bkn krn barangnya tp krn pelayanan dari tokonya. Barangnya delay kirim 2 hr statusnya gagal di pickup kurir dan ketika di chat balasan da... 
153,a***e,2,"kerah cepat rusak, benangnya ambrol."
154,H***o,2,ukuran baju tidak sesuai deskripsi
155,L***G,2,"jenis kain & warna berbeda dari pemesanan pertama, pesanan pertama (1) lebih bagus dr segi material + warna kain"
156,Yusuf,2,kurang bagus
157,Martinus,2,Produk 5/5 Respon Admin 4/5 Pengiriman 2/5
158,Nada,2,"sekelas official masih jauh dikatakan layak. tapi produknya ok, lumayan"
159,Veriel,2,"respon penjual lama, prosesnya lama, sudah make nextday tetep aja lama prosesnya, datang paket lewat dari estimasi hari di aplikasi. terimakasih atas pengalaman yg sudah... "
160,Rahadhika,2,"baju nya dalam kondisi lecek, ngeselin jadi harus di gosok dlu"
161,Wishnu,2,Jahitan nya gak rapih mohon di tingkatkan kualitas nya
162,idham,2,"saya pikir dengan blanja onlen di erigo secara online, barang yg datang dlm kondisi mulus, tp kenyataannya beda jauh dengan yg saya harapkan dan jujur sy kecewa. yg saya... "
163,M***i,2,
164,r***i,2,
165,s***i,1,"parah pesan tgl:14-4-2023 abis lebaran baru dikirim, diperbaiki lagi"
166,Ega,1,"Barang kurang 1, untung bisa balik duit nya, buat pelajaran aja jd bintang 1"
167,Ferry,1,beli 3 yang datang cuman 1 dan tidak sesuai pesanan
168,MOHAMAD,1,Pengiriman lama sekali dan seller nya tidak ramah
169,Muhammad,1,"respon penjual sangat lama, pengiriman juga lama. saya tidak mengerti kenapa baru sedemikian lama baru dikirim. ditambah sistem dari toped yg memberikan tambahan waktu la... "
170,Wahyu,1,"proses lama, giliran minta di cancel ganti warna ga bisa"
171,kockakocka,1,brg jelek
172,Indi,1,"minta nya di note size XL, tapi yg datang S, emang yg terklik.size S, tapikan udah ada note, lain kali biasain liat note ya"
173,M***h,1,"pesan jumat, konfirmasi stok habis baru senin, malah tetap dikirim, tp satu ukuran dibawahnya, ya mana muat. udah gt malah suruh nunggu komplen toped. pelayanan macam apa... "
174,G***g,1,"Kepanjangan, keliatan kayak pakai jubah, jaritan lengan juga di luar"
175,Hasby,1,robek jahitan atasnya
176,M***a,1,ejek
177,Julay,1,saya tidak menerima paket pesanan saya
178,Kenslindo,1,"berbulu, gabisa di refund.."
179,Deni,1,"proses lama, giliran minta di cancel ganti warna ga bisa"
180,o***a,1,brg jelek
181,Sandi,1,"minta nya di note size XL, tapi yg datang S, emang yg terklik.size S, tapikan udah ada note, lain kali biasain liat note ya"
182,F***i,1,"pesan jumat, konfirmasi stok habis baru senin, malah tetap dikirim, tp satu ukuran dibawahnya, ya mana muat. udah gt malah suruh nunggu komplen toped. pelayanan macam apa... "
183,M***d,1,"Kepanjangan, keliatan kayak pakai jubah, jaritan lengan juga di luar"
184,Muhammad,1,robek jahitan atasnya
185,Hasby,1,ejek
186,M***a,1,saya tidak menerima paket pesanan saya
187,Julay,1,"berbulu, gabisa di refund.."
188,Kenslindo,1,Robek gini
189,Deni,1,"pesen black malah dikirim navy, padahal udah diingetin dah dibilang kalo gada gausah dikirim uang dibalikin aja ehh masih aja dikirim. tokonya ngga amanah"
190,o***a,1,Kecewa..
191,Sandi,1,Pembelian pertama salah size d retur d krm brg size yg sm.bilang admin mau hubungi sampai skg tdk ad yg hubngin.pertama x beli dan terakhir beli d sini….
192,F***i,1,kegedean
193,M***d,1,"Maaf di revisi, kecewa sama barangnya. udah beli kedua kali, pertama M bajunya mengecil jadi kaya size S, akhirnya ikutin saran di deskripsi beli lg 1 tingkat size L, eh... "
194,Muhammad,1,B
195,Raja,1,"kecewaa barang riject, lengan panjang sebelah, sebelah kanan baju bolong dikit"
196,A***i,1,"bagian kerah sobek,"
197,F***n,1,jahitannya kacau banget
198,Naufal,1,"bahan kurang bagus, begitu di cuci bahan langsung mengecil (mengkerut)"
199,niko,1,prusahaan sekelas erigo menjual produk yg gak layak jual. sangat kecewa setelah sekian lama jdi langganan. masak kancing copot dan jahitan gak rapih di kirim ke pembeli.
200,C***o,1,
201,O***a,1,
202,Paulus,1,
203,R***n,1,
204,Y***n,1,
205,Wildan,1,
206,simada,1,
207,f***a,1,
208,danang,1,
209,DONNY,1,
210,F***i,5,mantap
211,Rizky,5,Overall good
212,K***s,5,"Pembelian yang kesekian, produk bagus sesuai dengan gambar dan deskripsi 👍"
213,H***o,5,"modelnya keren, pas dibadan, nyaman dipake"
214,Fadhil,5,recomendd parah
215,N***R,5,"bahan kemeja nya adem, jahitannya rapi"
216,A***l,5,"respon cepat, pengiriman cepat, melebihi ekspektasi, ukuran pas, warna sesuai, murah, bahan adem, besok beli lagi di sini, bakal langganan, seneng krn besok mau dipakai... "
217,PT,5,"bahannya adem bgt, size pas sesuai.jaitannya bagus"
218,Chaled,5,asli cakep!!!
219,A***n,5,lumayan lah sesuai dengan harga
220,M***a,5,"Bagussssss bgt ini kedua kalinya beli, meski warna yg dipilih gak ada, seller konfirmasi ganti wrn lain. Bahannya adyeeemmmm. Ukuran down size, biasa pake L tapi ini M cu... "
221,Triwati,5,udh beli berkali 2 di sini prod ok lbh murah adem bahannya
222,l***i,5,Kerenn. Size pas
223,F***h,5,"barang sesuai ekspektasi, bahannya jg adem dan lumayan tebel bahannya, gak kaku jg! cakep pokoknya, thanks seller!"
224,Kenrik,5,"baru juga kemaren co langsung sampe hari ini emng fast respon juga selernya, bagus belom sempet foto buat lebaran soalnya hahahha"
225,Ivan,5,Bagus
226,rifaldi,5,"harga terjangkau, barangnya bagus, seller ramah, pengiriman cepat."
227,Ardian,5,"mantab sesuai pesanan, ukuran pas, kain adem. jooosss pokoknya. terima kasih"
228,M***d,5,"field army zise l, bahan bagus sesuai pesanan, pokoknya.mantullah😚"
229,Ardiansyah,5,sy jrg kasih nilai review. ini bagus sih sesuai ekspektasi. worth it
230,Epri,5,"nunggu 3 hari berasa lama bgt😂. tapi puas setelah barang sampe, bahannya ternyata lemes bagus. next order lagi😁"
231,koko,5,bahan adem nyaman model ok harga sangat terjangkau toko jujur amanah terpercaya Tb 170 Bb 60 pakai size S masih ok
232,Rief,5,Bahannya keren pengiriman cepat
233,p***n,5,ok
234,Muhammad,5,"bahan bagus,cuma sayang ga pake kantong."
235,z***n,5,produk ok sesuai dekripsi
236,Asep,5,keren
237,Elsa,5,Harga muree tp bahan adem puol. luv luv
238,Husen,5,nice
239,Heria,5,Kemeja nya kereeeeen bangeet. Baru pertama kali beli tapi langsung suka. Warna nya juga kereen sesuai sama gambar. Bakalan beli lagi disini.
240,R***y,5,Adem kainnya 👍 bisa repeat order
241,Herianto,5,kemejanya bagus banget.. ukuran sesuai
242,K***i,5,nyaman dipakai
243,Galang,5,bagus
244,M***i,5,bagus. sesuai ukuran. udh beli yg ke3x
245,Andii,5,Ukuran pas. Nyaman bgt dipake adem. Jahitan juga sangat rapi
246,W***u,5,"baguus, bahannya adem, pas bgt dipake yg M ga kekecilan pokoknya cocok"
247,Ady,5,ini beli yg ke2 kalinya puas
248,nuki,5,"barang diterima sesuai dengan pesanan, sukses selalu"
249,F***i,5,mantapp aku sukaa
250,J***s,5,"tetep puas good quality dah pokonya, ngga salah si milih kemeja adem dan lembut disini, cuman kepengen juga warna putih gitu, ada kah?"
251,M***d,5,keren
252,andi,5,ok
253,r***i,5,"bahan bagus,adem,tebel juga,mantap terimakasih telah amanah"
254,Agung,5,"bagus bahan,model,jaitan lumayan rapi..terima kasih ka."
255,Irman,5,"sesuai espektasi,, penjualnya responsif.. makasih"
256,Triwati,5,ini pemb ke 3 hrg murah kwalitas ok adem
257,P***a,5,"bahannya adem banget, jahitan rapi"
258,Desi,5,"Warna & size sesuai, bahan adem"
259,C***n,5,👍👍👍👍👍
260,A***n,4,"pesen nya warna light brown, dateng nya warna midnight black, tapii kemeja nya bagus"
261,F***s,4,Over good.. Thx seller... Thx toped..
262,T***y,4,oke
263,R***y,4,"bahannya bagus, nyaman dipakai, sip lah pokoknya tapi maaf cuma bintang 4 soalnya ada yang robek, karena tidak di video unboxing jadi saya gk bisa komplain.. mohon dicek... "
264,Petrus,3,warna tidak sesuai padahal sudah ditulis di catatan.. kualitas baju oke banget..
265,R***y,3,"Bahan adem, cuma XXLnya sempit, Coba ada 3XL atau 4XL, pasti eike borong😁"
266,Charlie,3,
267,Djoko,2,Bagian lengan terlalu cingkrang
268,Robert,1,Tidak bermutu pelayanannyanlambat dan pengiriman kalo gak dibuer gak dikirim
269,Nururrokhman,1,Pembelian ketiga yang satu kerahnya sobek 🥲
270,Bima,1,Bad service
271,Prabowo,5,Barang sudah sampai sesuai deskripsi
272,A***p,5,mantapp
273,MHM,5,Keren dan bahan sangat nyaman walau tidak terlalu tipis. terima kasih
274,h***y,5,nais. sesuai harga
275,Yunus,5,Baju bagus bagus... pengiriman cepat.... layanan bagus
276,Kal,5,"Sudah mendarat dgn selamat kak,modelnya keren,bahan juga adem Pelayan ramah dan harga murah kualitas barang bukan berarti murahan,tengkiu kak,semoga makin lancar jualanny... "
277,Rido,5,nice..
278,ari,5,"keren , recomend bgt"
279,Pendi,5,barang sudah sampai sesuai pesanan mantapp👍👍👍👍👍👍👍👍puass belanja disini
280,Lando,5,bagus..👍
281,Maria,5,bahan bagus. cucuok sekali. suka
282,Mukhamad,5,jsa;l;dka;sjdjasdlansldjas
283,Turanto,5,terima kasih barang sesuai order kualitas terbaik sangat nyaman dipakai joos 🙏
284,Jekki,5,sesuai harga
285,Jemmy,5,mantap
286,A***n,5,mantab cutting bagus bahan adem ..cakep banget
287,Wawanmds,5,"Respon seller cepat,, Pengiriman cepat, trims utk kurir dan Toped yg selalu amanah"
288,Dodik,5,keren
289,Jaya,5,Kemeja sdh diterima dengan baik dan sesuai dengan pesanan kita. t kasih
290,alex,5,"barangnya bagus, ukurannya sesuai, mantap. tp agak tipis tp enggak tipis2 banget, puas dengan barangnya"
291,joko,5,pengiriman cepat bahan juga adem..
292,Allen,5,"Kan bajunya bagus, kan bener bintang 5"
293,kinanti,5,bagus kemejanya
294,moch,5,bahannya tipis menerawang.
295,Fariz,5,bahan berkualitas dan nyaman di pakai.
296,Ceppy,5,"barang ada masalah dikit, seller cepat tanggap dan sdh diselesaikan dg baik. good job"
297,Dini,5,menurut aq agak beda sm foto yg dpjg dr bhn sm bwh bajuy g ada mereky seperti dfoto ngasih keterangan jg slh d deskripsi size XL lb 56 tp ini cm 54cm utg udh baca dr ula... 
298,Hery,5,mantullllllll bajunya
299,M***i,5,"modelnya bagus,jahitannya rapih,☺️Bahannya sesuai harga,.sukakkk😇,..maaf ya fotonya gk sesuai barangya dicuci 🙏"
300,Faisal,5,"modelnya keress , nyaman di pakai , sellernya pun ramahh thxx..."
301,E***o,5,bahannya bagus. pengiriman termasuk cepat. dan size ukuran pas
302,B***y,5,bagus
303,Anwar,5,"model keren, enak di pakai bahan adem terima kasih barang sudah diterima sesuai deskripsi 🌟🌟🌟🌟🌟"
304,yudi,5,Ok barang bagus fast R 👍🏻
305,Indra,5,brg bagus & berkualitas trus bahan halus
306,M,5,mantap
307,Candra,5,"suka dgn warnanya, maroon"
308,Adi,5,"alhamdulillah dah smpai brgny, bahanny bagus banget, model ok punya, pengiriman jg cepat sellerny komunikatif, tp sayang bajunya kekecilan buat paksu, jd buat anakku yg b... "
309,Erik,5,sipppp
310,Tonny,5,"Puas, bahannya nyaman, jahitan halus, model bagus, ukuran sesuai, pesanan cepat sampai. Tksh pelapak nanti order lagi."
311,sandhi,5,bagus
312,khotib,5,keren.. pengiriman cepat dan barang oke.
313,imam,5,kami sangat puas dg produknya
314,Gisi,5,Jahitan bagus sekali. Kain juga sangat bagus. Ngga nyangka harga segini tapi kualitas mantap. Saran: tolong siapkan size S dong please. Terimakasih
315,W***a,5,Terimakasih kemejanya mayan bagus dan keren
316,imam,5,barangnya bagus bingit
317,Hendri,5,"Pas, cocok bagus"
318,Rizka,5,sip
319,Y***e,5,barang bagus sesuai dengan yang ditawarkan. pelayanan bagus juga. terima kasih
320,S***o,5,
321,Banu,4,"yang warna putih agak transparan, selebihnya oke"
322,yudi,4,"beli 2 item, abu dan putih tp dr 2 itu bahan nya beda2. yg putih jelek betul bahannya kaya spanduk partai"
323,Iink,4,"cepet sampai.. rapih, tp bahan kurang lembut. its ok"
324,Z***i,4,ukuran XL nya.... kecil y
325,Mardian,4,"XXL masih sempit ,bukan regular SPT nya ,,regular fit kayak nya ,ya sudah lah"
326,Dewangga,4,"alhamdulillah barang sampai dengan selamat, barangnya bagus sesuai di poto dan harganya"
327,Hendrik,4,lumayan lah
328,W***i,4,"ukuran dan model pas, tapi bahannya tidak sesuai harapan, tipis dan nerawang"
329,Rendra,4,beda sama yang di foto
330,Devi,4,Barang yg di kirimkan tidak sesuai dengan yg di tampilkan. Walaupun merek tetap sama tp model berbeda. Penjual tidak teliti dalam mengirimkan barang. walaupun penjual ber... 
331,Bahri,4,bagus mantap cuma sayang pengirimanx lama
332,ahmad,4,biasa aj Baju ny
333,R***l,4,okelah
334,Wawank,4,mantaaaap
335,A***p,4,aga tipis
336,s***o,4,detail seperri ttd/logo d dada kiri tidak sama...padahal itu detail yg mungkin unik kalo d pakai
337,usamah,4,"kualitas standar, tdk jelek tpi tidak bagus2 amat"
338,Yogi,4,Modelnya keren 😎. Warnanya mantap.
339,Bagus,4,"Kualitas produk bagus. Nyaman dipakai. Agak kecewa dengan jahitan kancing bajunya terkesan sembarangan, tapi its oke"
340,layang,4,Modelnya keren 😎.
341,I,4,biasa aja
342,karno,4,sip barang sudah landing... alhamdulillah sesuai pesanan
343,M***i,4,"bagusss bahannya gak kaku, kaitan rapi. pas dibadan. cuma warna gak begtu navy strong ya. tapi okelah nanti mau beli warna lain"
344,Tatang,4,"kemejanya bagus, jahitan rapi cuma sayang tidak ada sakunya"
345,Muhamad,4,Mantap👍👍
346,H***i,4,barang sdh smpai dgn selamat..beljm sempat dicoba sortinya ukurannya lebih lega..
347,Nur,4,bahan kurang adem tapi jahitan bagus. yah so so lah...
348,ncep,4,kualitas okeh
349,H***o,4,barang telah sesuai antara kualitas & harga
350,Robi,4,dikirim L. ke gedean kak
351,A***o,4,ok sesuai tp pengiriman bisa dipercepat lagi harusnya
352,Nuril,4,manta0
353,Roup,4,"barang sesuai dengan harga😊 tpi ukurannya,gde juga ya. pake M. malah kebesaran"
354,Yudha,4,Bagus
355,F***i,4,"Bagus, pengiriman cpt..thanks"
356,Y***y,4,"bagus si, cuma tipis"
357,suwandi,4,alhamdulillah sesuai pesanan dan pengiriman cepat
358,M***h,4,"rapih, bahannya bagus & kurirnya baik"
359,S***r,4,bagus
360,R***t,4,"mantab barang sesuai, pengiriman tepat waktu. trimakasih"
361,Oemar,4,"bahannya rada tipis, lumayan lah"
362,Reza,4,manarik...bagus...
363,f***o,4,"jahitan ok, tapi bahan agak kasar"
364,Akhmad,4,ok
365,Imron,4,"barangnya cocok, pengirimannya juga lumayan cepat"
366,Wira,4,"pengiriman cepat, bahan tebal dan harga terjangkau"
367,Ainun,4,suka bangeeettttttttt
368,Divia,4,lumayan
369,Arsyah,4,Beda sama yang di gambar..
370,Rully,4,
371,Rido,3,stoknya ga update.. dikonfirmasi sama admin nya akhirnya tuker navy.. pas dateng beda sendiri ternyata bordirannya..
372,H***i,3,"Bahan kasar, sepertinya bakalan gerah"
373,A***l,3,bahan cukup nyaman namun ukuran tidak sesuai dgn di deskripsi
374,Khairul,3,ternyata beda warna beda jenis kain
375,Dewi,3,"maaf seller baru bisa kasih bintang 3 dulu, kata suami di pake agak panas."
376,A***I,3,"Bahan tipis,"
377,andre,3,barang cepat sampai respon baik tapi baju yang dipesan xxl tapi rasa xl .
378,yusuf,3,pesan ukuran L. tapi yg dikirim ukuran M jadi agak ngepress di badan
379,M***d,3,model berbeda dengan gambar & pengiriman agak lama..
380,M***a,3,Pesan XL yg dikirim L...yaudah gak kepake...
381,F***i,3,Bahan bajunya kurang memuaskan
382,y***a,3,bahanya di luar expetasi🙈🙈
383,Fakih,3,Kualitas produk bagus.
384,M,3,logonya beda dgn yg di foto produk.
385,D***y,3,Kualitas produk bagus.
386,Nawi,3,bahan ok
387,Henki,3,warna navi barang nya kurang sesuai dengan tampilan di display topes
388,rifqi,3,Kualitas produk kurang bagus. panjang lengan beda sebelah.
389,Nidarit,3,saya kira slimfit beneran eh malah melar utk kain lumayan bagus aja jahitan rapi
390,Rika,3,ukuran M nya besar
391,Wahyu,3,"menurut saya barangnya keren dan bagus, cm kekurangannya agak sedikit panas dan kurang adem..."
392,j***o,3,"kemeja dimana ada kantong, jd kemeja ini seperti halnya kaos"
393,Yuga,3,sayang ada noda hitam yang g bisa hilang
394,Rivalino,3,kalau komunikasi dengan pelanggan sebaiknya maksimal. seharusnya bisa dengan whatsapp juga
395,Ferry,3,panas bahannya
396,Yati,3,g sesuai harga..pengiriman lama biasa 3hari ini 1mggu baru sampe lambat karena kurir yg malas barangkali...
397,T***t,3,"Barang sudah sampe, cuma kotor dan bau gak tau kenapa , agak sedikit kecewa"
398,RIZKY,3,oke mantap
399,D***i,3,"barang udah nyampe, proses pelayanannya cepat, tapi sayangnya saya minta ukuran M malah dikirim ukuran L 😔"
